1AY,Acharaya Institute of Technology
4SF,Sahyadri Institute of Technology & Management
4SH,Shree Devi Institute of Technology
4MW,SHRI MADHWA VADIRAJA INSTITUTE OF TECHNOLOGY & MANAGEMENT
4SM,Sjm Institute of Technology
4SU,Sri Dharmasthal Manjunatheshwar Institute of Technology
4SN,Srinivas Institute of Technology
4ES,SRINIVAS SCHOOL OF ENGINEERING
4SO,St.Joseph Engineering College
4UB,UBDT ENGINEERING COLLEGE DAVANAGERE
4VV,Vidya Vardhaka College of Enginering
4VM,Vidya Vikas Institute of Engineering and Technology
4VP,Vivekananda College of Engineering and Technology
4YG,YAGACHI INSTITUTE OF TECHNOLOGY
2AV,AGM RURAL COLLEGE OF ENGINEERING & TECHNOLOGY
2AG,ANGADI INSTITUTE OF TECHNOLOGY AND MGMT.
2AB,Anjuman Institute of Technology and Management
2AE,Appa Institute of Engineering and Technology
2BV,B.V.Bhoomaraddi College of Engineering and Technology
2BL,Bldeas College of Engineering
2GP,GOVERNMENT ENGINEERING COLLEGE KARWAR
4GO,Govt. Engineering College Haveri
2GB,GOVT. ENGINEERING COLLEGE HUVINHADAGALI
2HN,Hirasugar Institute of Technology
2JI,JAIN COLLEGE OF ENGINEERING
2KD,KLE COLLEGE OF ENG. AND TECHNOLOGY CHIKODI
2KE,KLE INSTITUTE OF TECH HUBLI
2KL,Kle Society College of Engineering and Technology
2GI,Kls Gogte Institute of Technology
2MB,Malik Sandal Institute of Art and Architecture
2MM,Maratha Mandals Engineering College
2RH,"Rural Engineering College, Hulkoti"
2BU,S G BALEKUNDRI INST. OF TECH.
2SR,S.T.J. Institute of Technology
2SA,Secab Institute of Engineering and Technology
2HA,SHAIKH COLLEGE OF ENGINEERING AND TECHNOLOGY
2KA,Smt. Kamala and Sri Venkappa M. Agadi College of Engineering and Technology
2TG,Sri Tontadaraya College of Engineering
2VS,V S M INSTITUTE OF TECHNOLOGY
2VD,Vishwanatha Rao Deshpande Rural Institute of Technology
3AE,Appa Institute of Engineering and Technology
3BK,Basava Kalyan Engineering College
3BR,Bellary Engineering College
3GF,GODUTAI ENGINEERING COLLEGE FOR WOMEN
3GU,Govt. Engineering College Raichur
3GN,Guru Nanak Dev Engineering College
3KC,K.C.T. Engineering College
3KB,Khaja Banda Nawaz College of Engineering
3LA,LINGARAJ APPA ENGINEERING COLLEGE
3NA,NAVODAYA INST. OF TECHNOLOGY
3PG,Proudadevaraya Institute of Technology
3VC,Rao Bahaddur Y Mahabaleshwarappa Engg College
3RB,"Rural Engineering College, Bhalki"
3SL,Sln College of Engineering
3VN,VEERAPPA NISTY ENGINEERING COLLEGE
